INFO 2025-12-06 20:27:57 db_utils.py:102 [1m[34mLogs will be synced with wandb.[0m
INFO 2025-12-06 20:27:57 db_utils.py:103 Track this run --> [1m[33mhttps://wandb.ai/mohamedkarimziadi-hugging-face/lerobot/runs/ff813l3r[0m
INFO 2025-12-06 20:27:57 ot_train.py:183 Creating dataset
INFO 2025-12-06 20:27:57 ot_train.py:202 Creating policy
INFO 2025-12-06 20:27:58 ot_train.py:247 Creating optimizer and scheduler
INFO 2025-12-06 20:27:58 ot_train.py:259 [1m[33mOutput dir:[0m outputs/train/act_mobile_arm_suction_01
INFO 2025-12-06 20:27:58 ot_train.py:262 cfg.steps=100000 (100K)
INFO 2025-12-06 20:27:58 ot_train.py:263 dataset.num_frames=18581 (19K)
INFO 2025-12-06 20:27:58 ot_train.py:264 dataset.num_episodes=35
INFO 2025-12-06 20:27:58 ot_train.py:267 Effective batch size: 8 x 1 = 8
INFO 2025-12-06 20:27:58 ot_train.py:268 num_learnable_params=51603337 (52M)
INFO 2025-12-06 20:27:58 ot_train.py:269 num_total_params=51603337 (52M)
INFO 2025-12-06 20:27:58 ot_train.py:324 Start offline training on a fixed dataset
INFO 2025-12-06 20:37:57 ot_train.py:351 step:9K smpl:70K ep:133 epch:3.79 loss:0.165 grdn:14.274 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:38:10 ot_train.py:351 step:9K smpl:72K ep:136 epch:3.87 loss:0.162 grdn:13.988 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:38:22 ot_train.py:351 step:9K smpl:74K ep:139 epch:3.96 loss:0.159 grdn:14.190 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:38:38 ot_train.py:351 step:9K smpl:75K ep:142 epch:4.05 loss:0.155 grdn:13.532 lr:1.0e-05 updt_s:0.061 data_s:0.015
INFO 2025-12-06 20:38:51 ot_train.py:351 step:10K smpl:77K ep:145 epch:4.13 loss:0.154 grdn:13.323 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:39:03 ot_train.py:351 step:10K smpl:78K ep:148 epch:4.22 loss:0.149 grdn:13.083 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:39:16 ot_train.py:351 step:10K smpl:80K ep:151 epch:4.31 loss:0.149 grdn:12.899 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:39:29 ot_train.py:351 step:10K smpl:82K ep:154 epch:4.39 loss:0.146 grdn:12.680 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:39:42 ot_train.py:351 step:10K smpl:83K ep:157 epch:4.48 loss:0.141 grdn:12.552 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:39:55 ot_train.py:351 step:11K smpl:85K ep:160 epch:4.56 loss:0.142 grdn:12.487 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:40:07 ot_train.py:351 step:11K smpl:86K ep:163 epch:4.65 loss:0.136 grdn:12.112 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:40:20 ot_train.py:351 step:11K smpl:88K ep:166 epch:4.74 loss:0.133 grdn:11.817 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:40:33 ot_train.py:351 step:11K smpl:90K ep:169 epch:4.82 loss:0.134 grdn:11.807 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:40:46 ot_train.py:351 step:11K smpl:91K ep:172 epch:4.91 loss:0.132 grdn:11.644 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:40:58 ot_train.py:351 step:12K smpl:93K ep:175 epch:4.99 loss:0.129 grdn:11.538 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:41:14 ot_train.py:351 step:12K smpl:94K ep:178 epch:5.08 loss:0.127 grdn:11.203 lr:1.0e-05 updt_s:0.061 data_s:0.014
INFO 2025-12-06 20:41:26 ot_train.py:351 step:12K smpl:96K ep:181 epch:5.17 loss:0.124 grdn:11.120 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:41:39 ot_train.py:351 step:12K smpl:98K ep:184 epch:5.25 loss:0.123 grdn:10.617 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:41:52 ot_train.py:351 step:12K smpl:99K ep:187 epch:5.34 loss:0.124 grdn:11.032 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:42:05 ot_train.py:351 step:13K smpl:101K ep:190 epch:5.42 loss:0.122 grdn:10.935 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:42:17 ot_train.py:351 step:13K smpl:102K ep:193 epch:5.51 loss:0.120 grdn:10.608 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:42:30 ot_train.py:351 step:13K smpl:104K ep:196 epch:5.60 loss:0.118 grdn:10.353 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:42:43 ot_train.py:351 step:13K smpl:106K ep:199 epch:5.68 loss:0.118 grdn:10.384 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:42:56 ot_train.py:351 step:13K smpl:107K ep:202 epch:5.77 loss:0.116 grdn:10.291 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:43:09 ot_train.py:351 step:14K smpl:109K ep:205 epch:5.86 loss:0.117 grdn:10.274 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:43:21 ot_train.py:351 step:14K smpl:110K ep:208 epch:5.94 loss:0.112 grdn:9.661 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:43:36 ot_train.py:351 step:14K smpl:112K ep:211 epch:6.03 loss:0.113 grdn:9.902 lr:1.0e-05 updt_s:0.061 data_s:0.014
INFO 2025-12-06 20:43:49 ot_train.py:351 step:14K smpl:114K ep:214 epch:6.11 loss:0.110 grdn:9.682 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:44:02 ot_train.py:351 step:14K smpl:115K ep:217 epch:6.20 loss:0.109 grdn:9.472 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:44:15 ot_train.py:351 step:15K smpl:117K ep:220 epch:6.29 loss:0.107 grdn:9.230 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:44:28 ot_train.py:351 step:15K smpl:118K ep:223 epch:6.37 loss:0.107 grdn:9.304 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:44:41 ot_train.py:351 step:15K smpl:120K ep:226 epch:6.46 loss:0.106 grdn:9.097 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:44:54 ot_train.py:351 step:15K smpl:122K ep:229 epch:6.54 loss:0.106 grdn:8.912 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:45:06 ot_train.py:351 step:15K smpl:123K ep:232 epch:6.63 loss:0.103 grdn:9.149 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:45:19 ot_train.py:351 step:16K smpl:125K ep:235 epch:6.72 loss:0.102 grdn:8.864 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:45:32 ot_train.py:351 step:16K smpl:126K ep:238 epch:6.80 loss:0.102 grdn:8.732 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:45:45 ot_train.py:351 step:16K smpl:128K ep:241 epch:6.89 loss:0.100 grdn:8.590 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:45:58 ot_train.py:351 step:16K smpl:130K ep:244 epch:6.97 loss:0.099 grdn:8.500 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:46:13 ot_train.py:351 step:16K smpl:131K ep:247 epch:7.06 loss:0.099 grdn:8.666 lr:1.0e-05 updt_s:0.061 data_s:0.015
INFO 2025-12-06 20:46:26 ot_train.py:351 step:17K smpl:133K ep:250 epch:7.15 loss:0.097 grdn:8.502 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:46:38 ot_train.py:351 step:17K smpl:134K ep:253 epch:7.23 loss:0.099 grdn:8.465 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:46:51 ot_train.py:351 step:17K smpl:136K ep:256 epch:7.32 loss:0.096 grdn:8.307 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:47:04 ot_train.py:351 step:17K smpl:138K ep:259 epch:7.41 loss:0.095 grdn:8.169 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:47:17 ot_train.py:351 step:17K smpl:139K ep:262 epch:7.49 loss:0.096 grdn:8.124 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:47:29 ot_train.py:351 step:18K smpl:141K ep:265 epch:7.58 loss:0.094 grdn:8.138 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:47:42 ot_train.py:351 step:18K smpl:142K ep:268 epch:7.66 loss:0.093 grdn:7.640 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:47:55 ot_train.py:351 step:18K smpl:144K ep:271 epch:7.75 loss:0.093 grdn:7.787 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:48:08 ot_train.py:351 step:18K smpl:146K ep:274 epch:7.84 loss:0.093 grdn:7.585 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:48:21 ot_train.py:351 step:18K smpl:147K ep:277 epch:7.92 loss:0.092 grdn:7.561 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:48:36 ot_train.py:351 step:19K smpl:149K ep:280 epch:8.01 loss:0.092 grdn:7.834 lr:1.0e-05 updt_s:0.061 data_s:0.015
INFO 2025-12-06 20:48:49 ot_train.py:351 step:19K smpl:150K ep:283 epch:8.09 loss:0.091 grdn:7.806 lr:1.0e-05 updt_s:0.061 data_s:0.002
